,0
00,0.00015451046
000,0.0010769898
10,0.0009050651
10 minutes,0.0
10 years,0.0
100,0.0
11,0.0019280795
12,7.347007e-05
13,0.0
14,0.0
15,0.0011514401
15 minutes,0.0
16,0.00081655564
17,0.0005933184
18,8.2219165e-05
19,0.0002485532
20,0.00017031745
20 minutes,0.0
20 years,0.00012798668
200,0.0
21,0.0008877978
22,0.00010724773
23,0.0
24,0.0
24 hours,0.00019813815
25,0.00013391474
30,0.00078606047
300,0.0
35,0.0
40,0.00034172094
400,0.0
45,0.0
50,4.4219112e-05
500,0.0
60,9.627712e-05
80,0.0
90,0.0
aah,0.0
abandoned,0.0004426066
able,0.0001597202
about,0.000112043286
about it,0.00010728014
absolutely,0.00013424177
accept,0.0003649003
accepted,0.0
access,0.0
accident,8.5727006e-05
according,0.0
account,0.00055657193
act,0.0010258069
act like,0.0
acting,0.0010561586
action,0.00035047106
actual,0.0
actually,0.0006186227
add,0.0
address,0.0004976691
admit,0.0
advance,0.00021707072
advantage,0.0
advice,0.0
afford,0.0
afraid,0.0003580081
after,0.000242788
afternoon,4.9780443e-05
again don,0.0
again it,0.0
again you,0.0
age,0.0006723741
agent,0.00039494838
ago,0.00039243148
agree,0.00034566168
agreed,0.00024849313
ah,0.00024377897
ahead,0.00055041263
ahh,0.0
ain,0.000115020965
ain gonna,0.00015239231
ain got,0.0
air,0.0016338318
airport,0.0
alarm,0.0
alive,0.0038986458
all,0.00036718935
all right,0.0
allow,0.0
allowed,0.00012540618
alone,5.7354642e-05
along,0.0003319734
already,5.5690263e-05
alright,0.0
also,0.00017714674
always,0.0
am,0.00025575722
amazing,0.00086237956
ambulance,0.0
amen,0.001195421
america,0.0012756414
american,0.0001533797
americans,0.0
an,0.0
ancient,0.00020257464
and,4.6239642e-05
and know,0.0
and uh,0.0
and you,0.0
angel,0.0
anger,0.0
angry,0.0
animal,0.0006665179
animals,0.00063360727
another,0.0
answer,0.00022553468
answers,0.0
any,0.00035020857
anybody,0.0
anymore,0.000424538
anyone,0.00021032189
anything,0.00020985233
anytime,0.0007147752
anyway,0.00033651225
anywhere,0.00034637813
apart,0.0004397191
apartment,0.0004323509
apologize,0.0
apparently,0.0
appear,0.0
appears,0.00026176224
apple,0.0
appointment,0.0
appreciate,0.000607471
appreciate it,0.0
approach,0.0004930238
approaching,0.0
are,0.00026566142
are you,0.00052160566
