,features,awesome,awful
11,0.0019280795,0.06240278934144998,
alive,0.0038986458,,0.059897967017587525
arrive,0.0019020403,0.016140020576859204,
behind,0.002408738,0.036525772412743795,
breathe,0.0023035882,,0.07509853127259408
can hear,0.0019185649,,0.02958981974733287
cat,0.0032454103,,0.019595335950220217
chick,0.002019435,,0.06752974669951914
closet,0.0019799874,,0.07238135192285124
coat,0.0031841558,0.07663917647489617,
county,0.0018915838,0.031332408196167054,
effort,0.0018511397,0.07929473891723812,
fuck it,0.0036755316,,0.01867867095917472
go go,0.0024193474,,0.1713471383550096
hang,0.001938595,,0.07982433825784342
happy you,0.002713805,0.013726483386636975,
help you,0.0024202052,,0.0542969603824465
hey,0.009929511,,0.25145993877066497
high school,0.002261167,,0.03612106296890301
hit me,0.0018089006,,0.01130273165013579
how going,0.0036613776,,0.00761660909920505
it best,0.0018999117,0.02719246468364114,
it lot,0.0019460514,0.025864753566858734,
it way,0.0018898089,,0.004030854101638077
it well,0.001997675,0.049935860978400574,
know say,0.0023731801,,0.003392126340996992
least,0.0023339025,0.07216792681335019,
leave it,0.0024182089,0.052361099830392124,
looking me,0.0018549231,0.01442788392634319,
lost,0.0018708718,0.02304303323560829,
makes feel,0.0017940762,0.01180553653101519,
makes sense,0.0018731666,,0.0623073240748036
meaning,0.002265007,0.04235142761378781,
mistake,0.002110695,,0.009716949939200751
need help,0.0027835662,,0.13327913581515546
now now,0.0020908657,0.03802386895031033,
oh god,0.0027770281,,0.2655391674495407
okay good,0.0018633062,,0.04766896482713068
out we,0.002694138,0.02379653624299739,
piss,0.0021896118,,0.011526486268434919
possible,0.0019871406,0.06361291925457338,
protect,0.0018398743,,0.07328083372803611
protection,0.002374106,,0.00803801057849964
salt,0.0021385641,0.03859642429578163,
sand,0.00231263,0.00697733769829854,
sat,0.0020808773,0.0634001786036066,
saturday,0.0024712929,0.01647167292814623,
sergeant,0.002005778,0.02617219428284784,
sound,0.0026834933,0.050366341450680106,
subject,0.001815681,0.05626933020521606,
suppose,0.0025114815,0.19002189443728487,
throw,0.0018967518,0.02510068379215057,
tickets,0.0021994303,,0.041766600551668684
training,0.0018014102,,0.02220175668174516
trust me,0.002780815,,0.1756179220363524
uniform,0.0018232639,0.02017989904318707,
us don,0.00189037,0.00647808068008671,
ve said,0.0019452497,0.0800865135836922,
wine,0.0026042731,0.029553348589472672,
you going,0.0021436948,0.0497686931181285,
